frame,vis_score,vis_label,n_obj,n_danger,n_caution,n_safe,nearest_m,min_ttc,obj_classes
1567,0.821,Good,9,1,4,4,22.43,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1570,0.832,Good,9,1,2,6,13.93,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
1573,0.852,Good,8,2,3,3,7.42,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1576,0.847,Good,10,1,6,3,6.86,0.96,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;pedestrian
1579,0.849,Good,8,0,3,5,12.10,0.96,vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle
1582,0.826,Good,10,0,1,9,21.89,99.00,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1585,0.809,Good,10,1,1,8,8.51,3.25,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian
1588,0.790,Good,4,0,1,3,32.84,,vehicle;vehicle;vehicle;vehicle
1591,0.782,Good,5,0,1,4,29.66,,vehicle;vehicle;vehicle;vehicle;vehicle
1594,0.780,Good,7,1,1,5,19.56,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian
1597,0.783,Good,6,1,3,2,10.57,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1600,0.793,Good,7,1,5,1,12.60,0.50,vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
1603,0.805,Good,2,0,0,2,32.84,,vehicle;vehicle
1606,0.814,Good,5,0,2,3,8.51,,vehicle;vehicle;vehicle;vehicle;pedestrian
1609,0.830,Good,5,0,4,1,14.59,,vehicle;vehicle;vehicle;vehicle;vehicle
1612,0.849,Good,10,0,1,9,19.99,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian
1615,0.862,Good,4,0,4,0,22.99,0.74,vehicle;vehicle;pedestrian;vehicle
1618,0.880,Good,6,0,3,3,18.39,1.48,vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
1621,0.893,Good,7,2,2,3,10.10,0.74,vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
1624,0.901,Good,4,0,2,2,21.89,,vehicle;vehicle;vehicle;vehicle
1627,0.909,Good,4,0,0,4,28.73,,vehicle;vehicle;vehicle;vehicle
1630,0.903,Good,2,0,2,0,31.71,,vehicle;vehicle
1633,0.891,Good,1,0,1,0,32.84,,vehicle
1636,0.875,Good,3,0,1,2,38.31,,vehicle;vehicle;vehicle
1639,0.864,Good,1,0,1,0,39.98,0.68,vehicle
